city,numeroControlePNCP,cnpj,orgao,unidade,dataPublicacaoPncp,valorTotalEstimado,valorTotalHomologado,situacaoCompraNome,objetoCompra
Sao Paulo,13864377000130-1-000007/2026,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-05T07:03:35,863090.8,633080.0,Divulgada no PNCP,"REGISTRO De PREÇOS OBJETIVANDO O FORNECIMENTO DE MATERIAIS DE OPME - SISTEMA DE PLACA E PARAFUSOPARA MÃO  COM ENTREGA EM CONSIGNAÇÃO E COMODATO DE INSTRUMENTAIS E EQUIPAMENTOS, NECESSÁRIOS PARA O ATENDIMENTO DE CIRURGIAS NA ESPECIALIDADE DE ORTOPEDIA, A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À SECRETARIA MUNICIPAL DA SAÚDE DE SP, PARA O PERÍODO DE 12(DOZE) MESES."
Sao Paulo,13864377000130-1-000013/2026,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-07T07:13:43,0.0,,Divulgada no PNCP,Registro de preços para o fornecimento de coletor de urina sistema aberto
Sao Paulo,13864377000130-1-000014/2026,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-07T07:14:28,576921.6,217848.0,Divulgada no PNCP,Visa o REGISTRO DE PREÇOS PARA O FORNECIMENTO DE CURATIVO ADESIVO FILME TRANSPARENTE.
Sao Paulo,13864377000130-1-000026/2026,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-09T07:05:40,4393761.64,2206260.0,Divulgada no PNCP,"Visa o REGISTRO DE PREÇOS PARA O FORNECIMENTO DE MATERIAIS DE OPME PRÓTESE DE JOELHO REVISÃO COM ENTREGA EM CONSIGNAÇÃO COM COMODATO DE INSTRUMENTAIS E EQUIPAMENTOS, NECESSÁRIOS PARA O ATENDIMENTO DE CIRURGIAS NA ESPECIALIDADE DE ORTOPEDIA, A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À SECRETARIA MUNICIPAL DA SAÚDE DE SP, PARA O PERÍODO DE 12(DOZE) MESES."
Sao Paulo,13864377000130-1-000031/2026,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-12T07:05:02,374360.1,235221.12,Divulgada no PNCP,"REGISTRO De PREÇOS PARA O FORNECIMENTO SOLUÇÃO HEMOSTATICA FRASCO COM 10 ML E SUGADOR, CIRÚRGICO DESCARTÁVEL ESTÉRIL."
Sao Paulo,13864377000130-1-000034/2026,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-12T07:12:44,158145.08,44368.8,Divulgada no PNCP,REGISTRO de PREÇOS PARA O FORNECIMENTO DE FLUORESCEINA 1%- SOLUÇÃO OFTÁLMICA (NG.01.00.25)
Sao Paulo,13864377000130-1-002230/2025,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-02T07:01:15,0.0,,Divulgada no PNCP,"REGISTRO de PREÇOS OBJETIVANDO O FORNECIMENTO DE MATERIAIS DE OPME GAIOLA(CAGE) EXPANSÍVEL COM ENTREGA EM CONSIGNAÇÃO COM COMODATO DE INSTRUMENTAIS E EQUIPAMENTOS, NECESSÁRIOS PARA O ATENDIMENTO DE CIRURGIAS NA ESPECIALIDADE DE NEUROCIRURGIA, A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À SECRETARIA MUNICIPAL DA SAÚDE DE SP, PARA O PERÍODO DE 12(DOZE) MESES"
Sao Paulo,13864377000130-1-002232/2025,13864377000130,FUNDO MUNICIPAL DE SAUDE - FMS,PMSP - SECRETARIA MUNICIPAL DE SAÚDE,2026-01-07T07:05:24,2549048.62,1274040.0,Divulgada no PNCP,"REGISTRO de PREÇOS PARA FORNECIMENTO DE MATERIAIS DE OPME - PARA ARTROSCOPIA DE MEMBRO SUPERIOR E TENODESE DO BÍCEPS, PARA ATENDIMENTO DE CIRURGIAS NA ESPECIALIDADE DE ORTOPEDIA, COM ENTREGA EM CONSIGNAÇÃO E COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS, PARA SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À SECRETARIA MUNICIPAL DA SAÚDE DE SP.    "
Sao Paulo,46395000000139-1-000028/2026,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,2026-03-04T07:17:52,4652861.35,4652499.96,Divulgada no PNCP,"Contratação de empresa especializada na prestação de serviços de controle de acesso do Edifício Conde Matarazzo, abrangendo a cobertura efetiva das portarias, a disponibilização de equipamentos de informática, a emissão de crachás e películas de identificação, bem como a manutenção preventiva e corretiva dos módulos de passagem, utilizando-se o software de propriedade da CONTRATANTE, com o fornecimento de peças necessárias. O objetivo é assegurar o gerenciamento "
Sao Paulo,74118514000182-1-000001/2026,74118514000182,SAO PAULO SECRETARIA DO VERDE E DO MEIO AMBIENTE,PMSP - SECRETARIA DO VERDE E DO MEIO AMBIENTE,2026-01-08T07:03:58,0.0,,Suspensa,Aquisição de materiais de pintura para a manutenção das edificações que compõe os Parques Municipais de São Paulo.
Rio de Janeiro,42498733000148-1-000127/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-01-16T07:11:03,99005.6,85452.38,Divulgada no PNCP,"Registro de Preços para Aquisição de Materiais de Instalações Elétricas (C), para manutenção rotineira, a serem utilizados nas unidades físicas do Sistema BRT da MOBI-Rio."
Rio de Janeiro,42498733000148-1-000324/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-03-06T07:05:23,960640.8,900000.0,Divulgada no PNCP,"Contratação de empresa especializada para execução de serviço de manutenção preventiva e corretiva de elevadores e monta-cargas nas unidades da Secretaria Municipal da Saúde, com cobertura total de peças e recursos humanos, compreendendo o fornecimento e instalação de materiais e equipamentos."
Rio de Janeiro,42498733000148-1-000345/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-03-09T07:17:13,9263108.0,9263108.0,Divulgada no PNCP,"Registro de Preços para Aquisição de Pneus 295/80 R22.5, para Manutenção Preventiva e Corretiva da Frota de Articulados Operados pela MOBI-Rio."
Rio de Janeiro,42498733000148-1-000498/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-03-25T07:03:56,104100.0,,Divulgada no PNCP,"O objeto da presente licitação é o registro de preços para a “Aquisição de tintas spray e insumos para arte urbana de grafite nos espaços públicos desta municipalidade”, pertencente às classes 8010, 9999 e 7510, conforme as especificações constantes deste Edital e/ou do Termo de Referência.    "
Rio de Janeiro,42498733000148-1-000519/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-03-26T07:11:41,5371527.56,,Divulgada no PNCP,REGISTRO DE PREÇOS para aquisição de acessórios para o Sistema de Gases Medicinais.
Rio de Janeiro,42498733000148-1-000525/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-03-27T07:03:12,19523635.38,14642448.15,Divulgada no PNCP,"O objeto do presente Contrato é a execução dos serviços comuns de engenharia de “Conservação, Manutenção e Serviços Complementares dos passeios de diversos logradouros nos Bairros de Copacabana e Leme na área da AP-2”, pertencente ao código 261289.0002-83, sob o regime de Empreitada por Preço Unitário, conforme as especificações constantes do Projeto Básico(Anexo I)."
Rio de Janeiro,42498733000148-1-000811/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-04-30T07:20:09,4412016.0,,Divulgada no PNCP,"Aquisição de mobiliário em geral, pertencente(s) à(s) classe(s) 7105, 7210, 7730, 7310, 4110, 3510, através de procedimento licitatório, na modalidade Pregão Eletrônico para Sistema de Registro de Preços, com critério de julgamento menor preço por item, incluindo carregamento, transporte, descarregamento e montagem dentro das respectivas unidades habitacionais (apartamentos), com fundamento no artigo 28, inciso I c/c artigo 33, inciso I e artigo 82 da lei nº 14.133/2021, conforme TR."
Rio de Janeiro,42498733000148-1-000822/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-05-04T07:07:03,0.0,,Divulgada no PNCP,Aquisição de MATERIAIS PARA REFRIGERAÇÃO
Rio de Janeiro,42498733000148-1-000868/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-05-11T07:13:30,16395561.86,15920187.48,Divulgada no PNCP,"Registro de preços para aquisição de medicamentos pertencente à classe 6505, medicamentos com perfil específico, destinados ao centro de especialidades do município do Rio de Janeiro."
Rio de Janeiro,42498733000148-1-001034/2026,42498733000148,MUNICIPIO DE RIO DE JANEIRO,PREFEITURA MUNICIPAL DO RIO DE JANEIRO - RJ,2026-05-25T07:10:23,647231.0,578273.54,Divulgada no PNCP,"Registro de preços para aquisição de materiais para funilaria e soldas em peças e estruturas - A, para manutenção preventiva e corretiva dos veículos operados pela MOBI-Rio, devidamente descritos, caracterizados e especificados neste Edital e/ou no Termo de Referência."
Belo Horizonte,18715383000140-1-000178/2026,18715383000140,MUNICIPIO DE BELO HORIZONTE,SECRETARIA MUNICIPAL DE EDUCAÇÃO,2026-03-23T09:27:25,111600.0,72000.0,Divulgada no PNCP,"FORNECIMENTO DE AGUA MINERAL NATURAL EM GARRAFAO COM 20 LITROS, INCLUINDO O EMPRESTIMO A TITULO DE COMODATO DE GARRAFAO COM CAPACIDADE PARA 20 LITROSVASILHAME, DESTINADOS AO ABASTECIMENTO DA SEDE DA SECRETARIA MUNICIPAL DE EDUCACAO ? SMED E GERENCIA REGIONAL DE EDUCACAO - BARREIRO , NOS TERMOS DA TABELA ABAIXO E CONFORME CONDICOES E EXIGENCIAS ESTABELECIDAS NESTE INSTRUMENTO."
Belo Horizonte,18715383000140-1-000272/2026,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-04-30T07:06:37,21782.62,13601.52,Divulgada no PNCP,Registro de preços para aquisição de medicamentos do trato alimentar (mandado judicial)
Belo Horizonte,18715383000140-1-000344/2026,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-05-26T07:03:34,0.0,,Divulgada no PNCP,"Serviço de locação com manutenção preventiva e corretiva de empilhadeiras e paleteiras, incluindo fornecimento de baterias, carregadores, materiais e insumos, bem como a substituição dos equipamentos, baterias e carregadores, e disponibilização de treinamento dos operadores, sem fornecimento de mão de obra para a operação dos equipamentos, nos termos do Anexo I – Projeto Básico e conforme condições e exigências estabelecidas neste instrumento."
Belo Horizonte,18715383000140-1-001094/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-01-07T07:13:32,374315.48,,Divulgada no PNCP,"Aquisição de equipamentos permanentes para atender as necessidades da Diretoria de Manutenção de Próprios – DMAP e Diretoria de Obras, Monitoramento e Planejamento de Manutenção das Regionais – DOMR."
Belo Horizonte,18715383000140-1-001105/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,SECRETARIA MUNICIPAL DE ADMINISTRACAO LOGISTICA E PATRIMONIAL,2026-01-14T07:02:00,236756.06,145516.25,Divulgada no PNCP,"O objeto da presente licitação é o registro de preços para a aquisição de Materiais Hidráulicos, destinados a atender a demanda do Município de Belo Horizonte, conforme condições e exigências estabelecidas neste Edital, Termo de Referência e demais anexos."
Belo Horizonte,18715383000140-1-001189/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-03-13T07:09:48,1786873.32,1266267.0,Divulgada no PNCP,Pregão Eletrônico com Registro de Preços para Aquisição de Medicamentos Padronizados IV
Belo Horizonte,18715383000140-1-001216/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-04-09T07:01:54,244722.96,200466.02,Divulgada no PNCP,Aquisição de bebedouros e equipamento de refrigeração
Belo Horizonte,18715383000140-1-001223/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-05-07T07:01:56,195045.73,124979.92,Divulgada no PNCP,Registro de preços para aquisição de insumos de laboratório VI.
Belo Horizonte,18715383000140-1-001225/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-05-14T07:02:27,13999.92,9576.0,Divulgada no PNCP,"Contratação de pessoa jurídica para prestação de serviços de manutenção preventiva e corretiva, incluindo fornecimento de peças, componentes, materiais e mão de obra, em elevadores do centro de referência esportiva para pessoas com deficiência - CREPPD, programa SUPERAR atendimento à demanda da secretaria municipal de esportes e lazer, prefeitura de Belo Horizonte, conforme condições e exigências estabelecidas neste edital, termo de referência e demais anexos."
Belo Horizonte,18715383000140-1-001232/2025,18715383000140,MUNICIPIO DE BELO HORIZONTE,PREF.MUN.DE BELO HORIZONTE,2026-05-26T07:02:37,0.0,,Divulgada no PNCP,Aquisição de material odontológico e laboratorial (itens descartáveis)
Vitoria,27142058000126-1-000034/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-02-03T16:45:43,669364.4,,Divulgada no PNCP,"FORNECIMENTO DE ALIMENTOS (DESJEJUM, KIT LANCHE E MARMITEX)."
Vitoria,27142058000126-1-000080/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-02-27T16:27:40,47236365.5,17987778.0,Divulgada no PNCP,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE CÂMERAS DE VIDEOMONITORAMENTO E MATERIAIS PARA INSTALAÇÃO E OPERAÇÃO.
Vitoria,27142058000126-1-000090/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-03-04T14:53:43,20443431.36,19073010.24,Divulgada no PNCP,PRESTAÇÃO DE SERVIÇOS DE ASSISTENTE DE SECRETARIA ESCOLAR
Vitoria,27142058000126-1-000176/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-04-15T14:14:36,366582.4,,Divulgada no PNCP,Registro de preços visando a aquisição de capacetes e intercomunicadores sem fio.
Vitoria,27142058000126-1-000202/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-04-24T08:59:33,322560.0,220800.0,Divulgada no PNCP,PRESTAÇÃO DE SERVIÇOS DE AGENTE DE INTEGRAÇÃO PARA OPERACIONALIZAR O PROGRAMA DE ESTÁGIO DO MUNICÍPIO DE VITÓRIA
Vitoria,27142058000126-1-000216/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-05-04T08:59:26,148183.67,,Divulgada no PNCP,AQUISIÇÃO DE SIMULADOR DE IMPACTO VEICULAR
Vitoria,27142058000126-1-000233/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-05-12T15:51:05,886172.48,,Divulgada no PNCP,"REGISTRO DE PREÇOS VISANDO FUTURAS E EVENTUAIS AQUISIÇÃO DE MEDICMENTOS (MAYTENUS ILICIFOLIA ou MONTEVERDIA ILICIFOLIA, BECLOMETASONA, ÁCIDO ACETILSALICÍLICO, PERMETRINA, ANLODIPINO)"
Vitoria,27142058000126-1-000238/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-05-13T10:58:09,16965.9,,Divulgada no PNCP,"AQUISIÇÃO DE MATERIAIS DE COMUNICAÇÃO E SINALIZAÇÃO VISUAL (PLACAS SINALIZADORAS, ADESIVOS, BANNER, FAIXA E BOTON)."
Vitoria,27142058000126-1-000268/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-05-26T17:50:27,2212432.0,,Divulgada no PNCP,"REGISTRO DE PREÇOS VISANDO AQUISIÇÃO DE MEDICAMENTOS (CYNARA SCOLYMUS, BUDESONIDA, SOLUÇÃO DE CLORETO DE SÓDIO)."
Vitoria,27142058000126-1-000270/2026,27142058000126,MUNICIPIO DE VITORIA,PREFEITURA MUNICIPAL DE VITORIA,2026-05-27T08:14:27,262584.0,,Divulgada no PNCP,Aquisição de TABLETS.
